CHEMICAL VVL,CHEMICAL NAME,NATURALLY OCCURRING,UNITS,COMPARISON CONCENTRATION (VALUE),COMPARISON CONCENTRATION TYPE,DDW (WQM),DDW (SDWIS),DPR,DWR,WB CLEANUP (EDF),GAMA DOM (EL_DORADO),GAMA SP-STUDY (LLNL),GAMA DOM (TEHAMA),GAMA USGS,GAMA DOM (YUBA),WRD,USGS (NWIS)
PCATE,Perchlorate,,UG/L,6,MCL,A-031,1039,,,PCATE,,,,"Perchlorate, wf -- Perchlorate, wu",,A-031,"Perchlorate, water, filtered, micrograms per liter -- Perchlorate, water, unfiltered, micrograms per liter -- Perchlorate, water, unfiltered, recoverable, milligrams per liter"
PFEESA,Perfluoro(2-ethoxyethane) sulfonic acid (PFEESA),,NG/L,0,No Comparison Conc.,,2826,,,PFEESA,,,,,,,
PFMPA,Perfluoro-3-methoxypropanoic acid (PFMPA),,NG/L,0,No Comparison Conc.,,2823,,,PFMPA,,,,,,,
PFMBA,Perfluoro-4-methoxybutanoic acid (PFMBA),,NG/L,0,No Comparison Conc.,,2825,,,PFMBA,,,,,,,
PFBSA,Perfluorobutanesulfonic acid,,NG/L,500,NL,C2801,2801,,,PFBSA,,,,"PFBS, wu",,C2801,Perfluorobutanesulfonate
PFBTA,Perfluorobutyric acid,,NG/L,0,No Comparison Conc.,,2819,,,PFBTA -- PFBA,,,,"PFBA, wu",,WRD215,Perfluorobutanoate
PFDSA,Perfluorodecanesulfonic acid,,NG/L,0,No Comparison Conc.,,,,,PFDSA,,,,"PFDS, wu",,WRD216,Perfluorodecanesulfonate
PFNDCA,Perfluorodecanoic acid,,NG/L,0,No Comparison Conc.,C2809,2807,,,PFNDCA,,,,"PFDA, wu",,C2809,Perfluorodecanoate
PFDOA,Perfluorododecanoic acid,,NG/L,0,No Comparison Conc.,C2810,2808,,,PFDOA,,,,,,C2810,Perfluorododecanoate
PFHPSA,Perfluoroheptanesulfonic acid,,NG/L,0,No Comparison Conc.,,2829,,,PFHPSA,,,,"PFHpS, wu",,WRD218,Perfluoroheptanesulfonate
PFHPA,Perfluoroheptanoic acid,,NG/L,0,No Comparison Conc.,C2802,2802,,,PFHPA,,,,"PFHpA, wu",,C2802,Perfluoroheptanoate
PFHXDA,Perfluorohexadecanoic acid,,NG/L,0,No Comparison Conc.,,,,,PFHXDA,,,,,,WRD219,
PFHXSA,Perfluorohexanesulfonic acid,,NG/L,3,NL,C2803,2803,,,PFHXSA,,,,"PFHxS, wu",,C2803,Perfluorohexanesulfonate
PFHA,Perfluorohexanoic acid,,NG/L,0,No Comparison Conc.,C2811,2809,,,PFHA,,,,"PFHxA, wu",,C2811,Perfluorohexanoate
PFNS,Perfluorononanesulfonic acid,,NG/L,0,No Comparison Conc.,,,,,PFNS,,,,"PFNS, wu",,WRD220,Perfluorononanesulfonate
PFNA,Perfluorononanoic acid,,NG/L,0,No Comparison Conc.,C2804,2804,,,PFNA,,,,"PFNA, wu",,C2804,Perfluorononanoate
PFODA,Perfluorooctadecanoic acid,,NG/L,0,No Comparison Conc.,,,,,PFODA,,,,,,WRD221,
PFOSA,Perfluorooctane sulfonamide,,NG/L,0,No Comparison Conc.,,,,,PFOSA,,,,"PFOSA, wu",,WRD222,Perfluorooctanesulfonamide
PFOA,Perfluorooctanoic acid,,NG/L,5.1,NL,C2806,2806,,,PFOA,,,,"PFOA, wu",,C2806,PFOA ion
PFOS,Perfluorooctanoic sulfonate,,NG/L,6.5,NL,C2805,2805,,,PFOS -- PFOS_A,,,,"PFOS, wu",,C2805,Perfluorooctanesulfonate
PFPES,Perfluoropentanesulfonoicacid,,NG/L,0,No Comparison Conc.,,2828,,,PFPES,,,,"PFPeS, wu",,WRD223,Perfluoropentanesulfonate
PFPA,Perfluoropentanoicacid,,NG/L,0,No Comparison Conc.,,2824,,,PFPA,,,,"PFPeA, wu",,WRD224,Perfluoropentanoate
PFTEDA,Perfluorotetradecanoic acid,,NG/L,0,No Comparison Conc.,C2812,2810,,,PFTEDA,,,,"PFTeDA, wu",,C2812,Perfluorotetradecanoate
PFTRIDA,Perfluorotridecanoic acid,,NG/L,0,No Comparison Conc.,C2813,2811,,,PFTRIDA,,,,"PFTrDA, wu",,C2813,Perfluorotridecanoate
PFUNDCA,Perfluoroundecanoic acid,,NG/L,0,No Comparison Conc.,C2814,2812,,,PFUNDCA,,,,,,C2814,Perfluoroundecanoate
PERMETHRIN,Permethrin,,UG/L,4,HBSL,79191,2114,2008,,PERMETHRIN,,,,"cis-Permethrin, w,gf<.7u",,79191,
PHORATE,Phorate,,UG/L,4,HBSL,38870,2605,,Phorate,PHORATE,,,,"Phorate, w,gf<.7u",,38870,"Phorate, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Phorate, water, unfiltered, recoverable, micrograms per liter"
PICLORAM,Picloram,,MG/L,0.5,MCL,39720,2040,,Picloram,PICLORAM,,,,"Picloram, w,gf<.7u",,39720,"Picloram, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Picloram, water, unfiltered, recoverable, micrograms per liter"
PCB1016,Polychlorinated Biphenyls (PCBs),,UG/L,0.5,MCL,39516,2383,,PCB-1016 -- PCB-1260,PCB1016 -- PCB1260,,,,,,39516,"PCBs, bed sediment, recoverable, dry weight, micrograms per kilogram -- PCBs, water, filtered, recoverable, micrograms per liter -- PCBs, water, unfiltered, recoverable, micrograms per liter"
PAHTOT,Polynuclear Aromatic Hydrocarbon,,UG/L,0,No Comparison Conc.,,,,,PAHTOT,,,,,,,
K,Potassium,X,MG/L,0,No Comparison Conc.,937,1042,,Dissolved Potassium,K,POTASSIUM,POTASSIUM,K,"Potassium, wf",,937,"Potassium, bed sediment, dry weight, milligrams per kilogram -- Potassium, water, filtered, milligrams per liter -- Potassium, water, unfiltered, recoverable, milligrams per liter"
PROMETON,Prometon,,UG/L,400,HBSL,39056,2029,499,,PROMETON,,,,"Prometon, wf",,39056,"Prometon, water, filtered, recoverable, micrograms per liter -- Prometon, water, filtered, recoverable, nanograms per liter -- Prometon, water, unfiltered, recoverable, micrograms per liter"
PROMETRYN,Prometryn,,UG/L,300,HBSL,39057,8040,502,Prometryn,PROMETRYN,,,,"Prometryn, wf",,39057,"Prometryn, water, filtered, recoverable, micrograms per liter -- Prometryn, water, filtered, recoverable, nanograms per liter -- Prometryn, water, unfiltered, recoverable, micrograms per liter"
PROPACHLOR,Propachlor (2-Chloro-N-isopropylacetanilide),,UG/L,90,NL,38533,2077,,,PROPACHLOR,,,,,,38533,"Propachlor, water, filtered, recoverable, micrograms per liter"
PROPANIL,Propanil,,UG/L,6,HBSL,39037,2289,,,PROPANIL,,,,"Propanil, w,gf<.7u",,39037,"Propanil, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Propanil, water, filtered, recoverable, nanograms per liter"
PROPGITE,Propargite,,UG/L,1,HBSL,82065,C214,445,,PROPGITE,,,,"Propargite, w,gf<.7u",,82065,"Propargite, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
RDX,"RDX (hexahydro-1,3,5-trinitro-1,3,5-triazine)",,MG/L,0.3,NL,81364,2096,,,RDX,,,,,,81364,
RA-226,Radium 226,X,pCi/L,5,MCL,9501,4020,,,RA-226,,,,"Ra-226, wf, radon method",,9501,"Radium-226 2-sigma combined uncertainty, water, filtered, picocuries per liter -- Radium-226, borehole cuttings, dry weight, becquerels per gram -- Radium-226, solids, dry weight, disintegrations per minute per gram -- Radium-226, water, filtered, picocuries per liter -- Radium-226, water, filtered, radon method, picocuries per liter -- Radium-226, water, unfiltered, gamma count, picocuries per liter"
RA-228,Radium 228,X,pCi/L,5,MCL,11501,4030,,,RA-228,,,,"Ra-228, wf",,11501,"Radium-228 2-sigma combined uncertainty, water, filtered, picocuries per liter -- Radium-228, water, filtered, picocuries per liter -- Radium-228, water, unfiltered, gamma count, picocuries per liter -- Radium-228, water, unfiltered, picocuries per liter"
RN-222,Radon 222,X,pCi/L,4000,MCL,82303,4004,,,RN-222,,,,"Rn-222, wu",,82303,"Radon-222 2-sigma combined uncertainty, water, unfiltered, picocuries per liter -- Radon-222 sample-specific minimum detectable concentration, water, unfiltered, picocuries per liter -- Radon-222, water, dissolved, picocuries per liter -- Radon-222, water, unfiltered, picocuries per liter"
SE,Selenium,X,UG/L,50,MCL,1147,1045,,Total Selenium,SE,SELENIUM,,SE,"Selenium, wf","Selenium, Hydride",1147,"Selenium, bed sediment, dry weight, milligrams per kilogram -- Selenium, suspended sediment, total, micrograms per liter -- Selenium, water, filtered, micrograms per liter -- Selenium, water, unfiltered, micrograms per liter"
AG,Silver,X,UG/L,100,HBSL,1077,1050,,Dissolved Silver -- Total Silver,AG,Silver,,AG,"Silver, wf","Silver, FAA",1077,"Silver, bed sediment, dry weight, milligrams per kilogram -- Silver, suspended sediment, recoverable, micrograms per liter -- Silver, water, filtered, micrograms per liter -- Silver, water, unfiltered, recoverable, micrograms per liter"
SIMAZINE,Simazine,,UG/L,4,MCL,39055,2037,531,Simazine,SIMAZINE,,,,"Simazine, wf",,39055,"Simazine, water, filtered, recoverable, micrograms per liter -- Simazine, water, filtered, recoverable, nanograms per liter -- Simazine, water, unfiltered, recoverable, micrograms per liter"
NA,Sodium ,X,MG/L,50,Action Level,929,1052,,,NA,SODIUM,SODIUM,NA,"Sodium, wf","Sodium, FAA",929,"Sodium, bed sediment, dry weight, milligrams per kilogram -- Sodium, bed sediment, recoverable, dry weight, milligrams per kilogram -- Sodium, water, filtered, milligrams per liter -- Sodium, water, unfiltered, recoverable, milligrams per liter -- Sodium fraction of cations, water, percent in equivalents of major cations"
SC,Specific Conductivity,X,UMHOS/CM,1600,SMCL,95,1064,,Conductance (EC),COND -- SC,SPECIFIC CONDUCTANCE,,COND,"SpecCond,wu25degCLab -- Specific cond at 25C",Specific Conductance,95,"Specific conductance, water, unfiltered, field, microsiemens per centimeter at 25 degrees Celsius -- Specific conductance, water, unfiltered, laboratory, microsiemens per centimeter at 25 degrees Celsius -- Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius"
STODSOLV,Stoddard Solvent,X,UG/L,0,No Comparison Conc.,,,,,STODSOLV,,,,,,,
SR,Strontium,X,UG/L,4000,HAL-US,,,,,SR,,,,"Strontium, wf",,,"Strontium, bed sediment, dry weight, milligrams per kilogram -- Strontium, water, filtered, micrograms per liter -- Strontium, water, unfiltered, recoverable, micrograms per liter"
SR-90,Strontium 90,,pCi/L,8,MCL,13501,4174,,,SR-90,,,,,,13501,
STY,Styrene,,UG/L,100,MCL,77128,2996,,Styrene,STY,Styrene,,STY,"Styrene, wu",Styrene,77128,"Styrene, water, unfiltered, recoverable, micrograms per liter"
SULFAMETH,Sulfamethoxazole  ,,UG/L,0,No Comparison Conc.,,,,,SULFAMETH,,,,"Sulfamethoxazole, wf",,,
SO4,Sulfate,X,MG/L,500,SMCL,945,1055,,Dissolved Sulfate,SO4,SULFATE,SULFATE,SO4,"Sulfate, wf",Sulfate,945,"Sulfate, water, filtered, milligrams per liter -- Sulfate, water, unfiltered, field, milligrams per liter -- Sulfate, water, unfiltered, milligrams per liter"
TEMP,Temperature,,CELSIUS,0,No Comparison Conc.,,,,,TEMP,,,,"Temperature, water",,,"Temperature, water, degrees Celsius"
TAME,Tertiary amyl methyl ether,,UG/L,0,No Comparison Conc.,A-034,C034,,,TAME,METHYL TERT-AMYL ETHER/ tert-Amyl Methyl Ether (TAME),,,,METHYL TERT-AMYL ETHER/ tert-Amyl Methyl Ether (TAME),A-034,"Methyl tert-pentyl ether, water, unfiltered, recoverable, micrograms per liter"
PCE,Tetrachloroethene (PCE),,UG/L,5,MCL,34475,2987,,Tetrachloroethene,PCE,TETRACHLOROETHYLENE,,PCE,"Tetrachloroethene, wu",TETRACHLOROETHYLENE/ TETRACHLOROETHENE (PCE),34475,"Tetrachloroethene, water, filtered, recoverable, micrograms per liter -- Tetrachloroethene, water, unfiltered, recoverable, micrograms per liter"
TL,Thallium,X,UG/L,2,MCL,1059,1085,,Dissolved Thallium,TL,THALLIUM,,TL,,"Thallium, GFAA",1059,"Thallium, bed sediment, total digestion, dry weight, milligrams per kilogram -- Thallium, water, filtered, micrograms per liter -- Thallium, water, unfiltered, micrograms per liter"
THIABEND,Thiabendazole,,UG/L,231,HHBP,,,,,THIABEND,,,,"Thiabendazole, wf",,,
THIOBENCARB,Thiobencarb,,UG/L,70,MCL,A-001,2727,1933,Thiobencarb,THIOBENCARB,,,,"Thiobencarb, w,gf<.7u",,A-001,"Thiobencarb, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Thiobencarb, water, filtered, recoverable, nanograms per liter"
BZME,Toluene,,UG/L,150,MCL,34010,2991,,Toluene,BZME,TOLUENE,,BZME,"Toluene, wu",TOLUENE,34010,"Toluene, water, unfiltered, recoverable, micrograms per liter"
COLIFORM,Total Coliform Bacteria,X,Count,0.99,MCL,,,,,COLIFORM,TOTAL COLIFORM,,COLIFORM,,Total Coliform Bacteria,31505,"Total coliforms, M-Endo MF method, immediate, water, colony forming units per 100 milliliters -- Total coliforms, MI MF method, water, colony forming units per 100 milliliters -- Total coliforms, brilliant green lactose broth method, confirmed, water, most probable number per 100 milliliters -- Total coliforms, defined substrate test method (DSTM), water, most probable number per 100 milliliters -- Total coliforms, defined substrate test presence or absence method (DSTM PA), water, presence or absence in 100 milliliters"
TDS,Total Dissolved Solids,X,MG/L,1000,SMCL,70300,1930,,Total Dissolved Solids,TDS,TOTAL DISSOLVED SOLIDS,,TDS,Diss solids dry@180C,"Solids, Total Dissolved",70300,"Dissolved solids dried at 105 degrees Celsius, water, filtered, milligrams per liter -- Dissolved solids dried at 180 degrees Celsius, water, filtered, milligrams per liter -- Dissolved solids, water, filtered, short tons per acre-foot -- Dissolved solids, water, filtered, sum of constituents, milligrams per liter -- Dissolved solids, water, short tons per day"
TOCH,Total Organic Carbon,X,MG/L,0,No Comparison Conc.,680,2920,,Total Organic Carbon,TOC1 -- TOCH,,,,"Organic carbon, wf",,680,"Organic carbon, bed sediment smaller than 2 millimeters, wet sieved (native water), field, recoverable, dry weight, grams per kilogram -- Organic carbon, bed sediment, dry weight, percent -- Organic carbon, bed sediment, total, dry weight, grams per kilogram -- Organic carbon, solids, dry weight, percent -- Organic carbon, suspended sediment, total, milligrams per liter -- Organic carbon, water, filtered, milligrams per liter -- Organic carbon, water, unfiltered, milligrams per liter"
PHC,Total Petroleum Hydrocarbons,X,UG/L,0,No Comparison Conc.,,,,,PHC,,,,,,,
THM,Total Trihalomethanes ,,UG/L,80,MCL,82080,2950,,,THM,TOTAL TRIHALOMETHANES,,TTHM,,TOTAL TRIHALOMETHANES,82080,"Trihalomethanes, water, unfiltered, maximum summation, micrograms per liter -- Trihalomethanes, water, unfiltered, minimum summation, micrograms per liter"
TOXAP,Toxaphene,,UG/L,3,MCL,39400,2020,594,Toxaphene,TOXAP,,,,,,39400,"Toxaphene, bed sediment, recoverable, dry weight, micrograms per kilogram -- Toxaphene, water, filtered, recoverable, micrograms per liter -- Toxaphene, water, unfiltered, recoverable, micrograms per liter"
TRICLOPYR,Trichlopyr,,UG/L,400,HBSL,,,,Triclopyr,TRICLOPYR,,,,"Triclopyr, w,gf<.7u",,,"Triclopyr, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
TCAA,Trichloroacetic Acid,,UG/L,0,No Comparison Conc.,82723,2452,,,TCAA,,,,,,82723,
TCE,Trichloroethene (TCE),,UG/L,5,MCL,39180,2984,,Trichloroethene,TCE,Trichloroethene/ Trichloroethylene,,TCE,"Trichloroethene, wu",Trichloroethene/ Trichloroethylene (TCE),39180,"Trichloroethene, water, unfiltered, recoverable, micrograms per liter"
FC11,Trichlorofluoromethane (Freon 11),,UG/L,150,MCL,34488,2218,,Trichlorofluoromethane,FC11,Trichlorofluoromethane (FREON 11),,FC11,"CFC-11, wu",Trichlorofluoromethane (FREON 11),34488,"Trihalomethanes, water, unfiltered, maximum summation, micrograms per liter -- Trihalomethanes, water, unfiltered, minimum summation, micrograms per liter"
TRIFLURALIN,Trifluralin,,UG/L,20,HBSL,81284,2055,,Trifluralin,TRIFLURALIN,,,,"Trifluralin, w,gf<.7u",,81284,"Trifluralin, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter -- Trifluralin, water, unfiltered, recoverable, micrograms per liter"
TRIMETHOP,Trimethoprim,,UG/L,0,No Comparison Conc.,,,,,TRIMETHOP,,,,"Trimethoprim, wf",,,
H-3,Tritium,X,pCi/L,20000,MCL,7000,4102,,,H-3,,,,"Tritium, wu",,7000,"Tritium 2-sigma combined uncertainty, water, unfiltered, picocuries per liter -- Tritium counting error, water, unfiltered, tritium units -- Tritium in water molecules counting error, tritium units -- Tritium in water molecules, tritium units -- Tritium, water, unfiltered, picocuries per liter -- Tritium, water, unfiltered, tritium units"
W,Tungsten,X,UG/L,0,No Comparison Conc.,,,,,W,,,,"Tungsten, wf",,,
U,Uranium,X,pCi/L,20,MCL,28011 -- 28012, -- 4006,,,U -- UTOT,,,,"Uranium, wf -- Uranium, wf",,28011 -- 28012,"Uranium (natural) 2-sigma combined uncertainty, water, filtered, micrograms per liter -- Uranium (natural), water, filtered, micrograms per liter -- Uranium (natural), water, unfiltered, micrograms per liter -- Uranium, bed sediment, dry weight, milligrams per kilogram -- Uranium, water, filtered, extraction fluorometric method, micrograms per liter -- Uranium-238 2-sigma combined uncertainty, water, filtered, picocuries per liter -- Uranium-238, water, filtered, picocuries per liter -- Uranium-238, water, unfiltered, picocuries per liter -- Uranium-234 2-sigma combined uncertainty, water, filtered, picocuries per liter -- Uranium-234, water, filtered, picocuries per liter -- Uranium-234, water, unfiltered, picocuries per liter -- Uranium-235 2-sigma combined uncertainty, water, filtered, picocuries per liter -- Uranium-235, water, filtered, picocuries per liter -- Uranium-235, water, unfiltered, picocuries per liter"
V,Vanadium,X,UG/L,50,NL,1087,1088,,,V,,,,"Vanadium, wf",,1087,"Vanadium, bed sediment, dry weight, milligrams per kilogram -- Vanadium, water, filtered, micrograms per liter -- Vanadium, water, unfiltered, micrograms per liter"
VC,Vinyl Chloride,,UG/L,0.5,MCL,39175,2976,,Vinyl chloride,VC,Vinyl Chloride,,VC,"Vinyl chloride, wu",Vinyl Chloride,39175,"Vinyl chloride, water, unfiltered, recoverable, micrograms per liter"
WARFARIN,Warfarin ,,UG/L,2,HBSL,,,,,WARFARIN,,,,"Warfarin, wf",,,
XE,Xenon,X,cm3STP/g,0,No Comparison Conc.,,,,,XE,,,,,,,"Xenon error, water, unfiltered, cubic centimeters per gram at standard temperature and pressure -- Xenon, water, dissolved, cubic centimeters per gram at standard temperature and pressure"
XYLENES1314,"Xylene, Isomers m & p",,UG/L,1750,MCL,A-014,2963,,m + p Xylene,XYLENES1314,"M,P-XYLENE",,XYLENES1314,"m-Xylene plus p-xylene, wu","M,P-XYLENE",A-014,
XYLENES,Xylenes (total),,UG/L,1750,MCL,81551,2955,,"Xylene, (total)",XYLENES,XYLENES (TOTAL),,XYLENES,,"XYLENES (TOTAL M, P, O)",81551,"Xylene (all isomers), water, unfiltered, recoverable, micrograms per liter"
ZN,Zinc,X,MG/L,5,SMCL,1092,1095,,Dissolved Zinc -- Total Zinc,ZN,ZINC,,ZN,"Zinc, wf","Zinc, FAA",1092,"Zinc, bed sediment, dry weight, milligrams per kilogram -- Zinc, suspended sediment, recoverable, micrograms per liter -- Zinc, water, filtered, micrograms per liter -- Zinc, water, unfiltered, recoverable, micrograms per liter"
HCO3,bicarbonate HCO3,X,MG/L,0,No Comparison Conc.,,,,Dissolved Bicarbonate (HCO3-),HCO3,BICARBONATE,,HCO3,"Bicarbonate,wf,inflect pt,fld",,,"Bicarbonate, water, filtered, Gran titration, field, milligrams per liter -- Bicarbonate, water, filtered, fixed endpoint (pH 4.5) titration, field, milligrams per liter -- Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter -- Bicarbonate, water, filtered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter -- Bicarbonate, water, unfiltered, Gran titration, field, milligrams per liter -- Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, field, milligrams per liter -- Bicarbonate, water, unfiltered, fixed endpoint (pH 4.5) titration, laboratory, milligrams per liter -- Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter -- Bicarbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter"
CO3,carbonate CO3,X,MG/L,0,No Comparison Conc.,,,,Dissolved Carbonate (CO3--),CO3,CARBONATE,,CO3,"Carbonate, wf,inflect pt,fld",,,"Carbonate, water, filtered, Gran titration, field, milligrams per liter -- Carbonate, water, filtered, fixed endpoint (pH 8.3) titration, field, milligrams per liter -- Carbonate, water, filtered, inflection-point titration method (incremental titration method), field, milligrams per liter -- Carbonate, water, unfiltered, Gran titration, field, milligrams per liter -- Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, field, milligrams per liter -- Carbonate, water, unfiltered, fixed endpoint (pH 8.3) titration, laboratory, milligrams per liter -- Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter -- Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), field, milligrams per liter as calcium carbonate -- Carbonate, water, unfiltered, inflection-point titration method (incremental titration method), laboratory, milligrams per liter -- Carbonate, water, unfiltered, milligrams per liter as calcium carbonate"
DCE12C,"cis-1,2 Dichloroethylene",,UG/L,6,MCL,77093,2380,,"cis-1,2-Dichloroethene",DCE12C,"cis-1,2-Dichloroethene/ cis-1,2-Dichloroethylene ",,DCE12C,,"cis-1,2-Dichloroethene/ cis-1,2-Dichloroethylene ",77093,"cis-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter"
OXYGEN18,d-18O in Water,X,per mil,0,No Comparison Conc.,,,,,OXYGEN18,,,,,,,
H2H1RAT,delta H2/H1,X,per mil,0,No Comparison Conc.,,,,,H2H1RAT,,,,"delta H-2/ H-1, wu",,,"delta hydrogen-2/ hydrogen-1 of methane, water, dissolved, relative to Vienna Standard Mean Ocean Water (VSMOW), per mil -- delta hydrogen-2/ hydrogen-1, water, unfiltered, per mil"
N15N14NO3,"delta N-15, NO3",X,per mil,0,No Comparison Conc.,,,,,N15N14NO3,,,,"delta N-15/ N-14, NO3, wf",,,"delta nitrogen-15/ nitrogen-14 of ammonia, water, filtered, per mil -- delta nitrogen-15/ nitrogen-14 of dinitrogen, water, unfiltered, per mil -- delta nitrogen-15/ nitrogen-14 of nitrate, water, filtered, per mil -- delta nitrogen-15/ nitrogen-14 of total nitrogen, solids, per mil -- delta nitrogen-15/ nitrogen-14, water, unfiltered, per mil"
O18O16NO3,"delta O18, NO3",X,per mil,0,No Comparison Conc.,,,,,O18O16NO3,,,,"delta O-18/ O-16, NO3, wf",,,
O18O16RAT,delta O18/O16 in water,X,per mil,0,No Comparison Conc.,,,,,O18O16RAT,,,,"delta O-18/ O-16, wu",,,"delta oxygen-18/ oxygen-16 of nitrate, water, filtered, per mil -- delta oxygen-18/ oxygen-16 of sulfate, water, filtered, per mil -- delta oxygen-18/ oxygen-16, water, unfiltered, per mil"
DIPE,diisopropyl ether,,UG/L,0,No Comparison Conc.,A-036,2245,,,DIPE,,,,"Diisopropyl ether, wu",,A-036,
XYLM,m-Xylene,,UG/L,0,No Comparison Conc.,81710,2995,,,XYLM,,,,,M-XYLENE,,
BTBZN,n-Butylbenzene,,UG/L,260,NL,A-010,2422,,n-Butylbenzene,BTBZN,n-BUTYLBENZENE,,BTBZN,"N(4Chlorophenyl)N'methylurea -- n-Butylbenzene, wu",n-BUTYLBENZENE,A-010,"n-Butylbenzene, water, unfiltered, recoverable, micrograms per liter"
PBZN,n-Propylbenzene (Isocumene),,UG/L,260,NL,77224,2998,,,PBZN,n-Propylbenzene,,PBZN,"n-Propylbenzene, wu",n-Propylbenzene,77224,"n-Propylbenzene, water, unfiltered, recoverable, micrograms per liter"
XYLO,o-Xylene,,UG/L,0,No Comparison Conc.,77135,2997,,o-Xylene,XYLO,O-XYLENE,,XYLO,"o-Xylene, wu",O-XYLENE,77135,"o-Xylene, water, unfiltered, recoverable, micrograms per liter"
PORTHO,orthophosphate,X,MG/L,0,No Comparison Conc.,660,1044,,,PORTHO,,,,"Orthophosphate, wf",,660,
XYLP,p-Xylene,,UG/L,0,No Comparison Conc.,78132,2962,,,XYLP,,,,,P-XYLENE,,
PH,pH,X,PH UNITS,0,No Comparison Conc.,00400 -- 00403,C253 -- 1925,,pH,PH,"PH, LABORATORY",,PH,"pH -- pH, wu,lab",pH,00400 -- 00403,"pH, water, area weighted average, standard units -- pH, water, unfiltered, field, standard units"
BTBZS,sec-Butylbenzene,,UG/L,260,NL,77350,2428,,sec-Butylbenzene,BTBZS,sec-Butylbenzene,,BTBZS,"sec-Butylbenzene, wu",sec-Butylbenzene,77350,"sec-Butylbenzene, water, unfiltered, recoverable, micrograms per liter"
TEBUTHIURON,tebuthiuron,,UG/L,1000,HBSL,45607,2271,1810,,TEBUTHIURON,,,,"Tebuthiuron, w,gf<.7u",,45607,"Tebuthiuron, water, filtered (0.7 micron glass fiber filter), recoverable, micrograms per liter"
TBA,tert-Butyl alcohol (TBA),,UG/L,12,NL,77035,C170,,,TBA,TERT-BUTYL ALCOHOL,,,,TERT-BUTYL ALCOHOL (TBA),77035,
BTBZT,tert-Butylbenzene,,UG/L,260,NL,77353,2426,,tert-Butylbenzene,BTBZT,tert-Butylbenzene,,BTBZT,,tert-Butylbenzene,77353,"tert-Butylbenzene, water, unfiltered, recoverable, micrograms per liter"
DCE12T,"trans-1,2, Dichloroethylene",,UG/L,10,MCL,34546,2979,,"trans-1,2-Dichloroethene",DCE12T,"trans-1,2-Dichloroethene/ trans-1,2-Dichloroethylene ",,DCE12T,"trans-1,2-Dichloroethene, wu","trans-1,2-Dichloroethene/ trans-1,2-Dichloroethylene ",34546,"trans-1,2-Dichloroethene, water, unfiltered, recoverable, micrograms per liter"
